City,Name,Contact,Phone Numbers,Address,Hours of Operation,,,,,,,,,,,,,,,,,,,
Jamesburg,Calvary Chapel Crossfields,Fran Napoli,732-521-0382 (Office) / 609-664-2973 (Fran),"15 Half Acre Rd., Jamesburg, NJ 08831","Friday, 6:00 p.m. – 8:00 p.m.",,,,,,,,,,,,,,,,,,,
Jamesburg,Presbyterian Church of Jamesburg – Deacon’s Food Cupboard,Church Office,732-521-1711,"175 Gatzmer Avenue, Jamesburg, NJ 08831",3rd Saturday by appointment. Open every Saturday for drive-thru 9 a.m.,,,,,,,,,,,,,,,,,,,
"Laurence Harbor, NJ",St. Lawrence Church Food Pantry,Joan Langan,732-583-9361,109 Laurence Parkway,"Saturday, 8:30 a.m. - 10:00 a.m.",,,,,,,,,,,,,,,,,,,
Metuchen,First Presbyterian Church of Metuchen,Sarah Teti,732-491-2300 (Office) / 732-491-2325 (Food Pantry),"270 Woodbridge Avenue, Metuchen, NJ 08840","Wednesday & Thursday, 9:15 a.m. - 12:00 p.m.",,,,,,,,,,,,,,,,,,,
Metuchen,St. Francis Cathedral Social Concerns,N/A,732-548-0100 ext. 225,"45 Library Place, Metuchen, NJ 08840","Monday - Thursday, 9:30 a.m. - 11:30 a.m.",,,,,,,,,,,,,,,,,,,
Middlesex,First Bilingual SDA Church Food Pantry,Stacy Barnes,732-629-8065,"111 Howard Ave, Middlesex, NJ 08846","Thursday, 12:00 p.m. - 2:00 p.m. (by appointment only)",,,,,,,,,,,,,,,,,,,
Milltown,"Jewish Family Services of Middlesex County, Milltown",Intake Worker,732-777-1940,"32 Ford Avenue, 2nd Floor, Milltown, NJ 08850",By appointment,,,,,,,,,,,,,,,,,,,
Monroe,"Jewish Family Services of Middlesex County, Monroe",N/A,609-395-7979,"1600 Perrineville Road, Suite 52, Monroe Twp., NJ 08831",By appointment,,,,,,,,,,,,,,,,,,,
Monroe,Monroe Township Office of Senior Services,Karen Theer or Claire Kelly,609-448-7140,"12 Halsey Reed Road, Monroe Twp., NJ 08831","1st Wednesday of the month, 8:30 a.m. - 11:30 a.m. (by appointment)",,,,,,,,,,,,,,,,,,,
New Brunswick,Abundant Life Family Worship Church,Lisa Griffis,732-937-6795,"259 George Street, New Brunswick, NJ 08901","One food distribution event per month (e.g., June 27th at 12 noon)",,,,,,,,,,,,,,,,,,,
New Brunswick,Bayard Street Presbyterian Church,Pastor Joseph Bodnar,732-247-0384 or 732-672-3793,"107 Bayard Street, PO Box 1207, New Brunswick, NJ 08903","Last Saturday of the month, 12:00 p.m. - 2:00 p.m.",,,,,,,,,,,,,,,,,,,
New Brunswick,Central Jersey Diaper Bank/Anshe Emeth Community Development Corporation,Diaper Hotline,732-296-9922,N/A,End of the month (by appointment for home delivery or open distribution),,,,,,,,,,,,,,,,,,,
New Brunswick,Christ Church New Brunswick Food Pantry,Church Office,732-545-6262 or 732-543-3065,"5 Paterson Street, New Brunswick, NJ 08901",2nd & 3rd Wednesdays of the month: 6:00 p.m. – 7:30 p.m.; Last 2 Fridays: 9:00 a.m. – 10:30 a.m.; Last 2 Saturdays: 10:30 a.m. – 12:00 p.m.,,,,,,,,,,,,,,,,,,,
New Brunswick,"Ebenezer Baptist Church, Feed My Sheep Ministry, Soup Kitchen and Pantry",Victor Hoagland or Louie Rolon,732-247-2459,"126 Lee Avenue, New Brunswick, NJ 08901",Tuesday 11:00 a.m. – 1:00 p.m. (Soup Kitchen); Thursday & Friday 11:00 a.m. – 2:00 p.m. (home deliveries),,,,,,,,,,,,,,,,,,,
New Brunswick,Elijah's Promise,Curtis McNair,732-545-9002 ext. 117,"18 Neilson Street, New Brunswick, NJ 08901",Monday – Friday: 11:00 a.m. - 7:00 p.m.; Saturday – Sunday: 12:00 p.m. - 1:30 p.m.,,,,,,,,,,,,,,,,,,,
New Brunswick,Five Loaves Food Pantry Store at Second Reformed Church of NB,Catherine Verduci,732-545-1019,"100 College Avenue, New Brunswick, NJ 08901","Regular Hours (Sept. - April): Mon – Fri 10:00 a.m. – 2:00 p.m.; Mon & Wed 5:00 p.m. – 8:00 p.m.; Summer Hours: Mon, Tues, Wed 10:00 a.m. – 2:00 p.m.",,,,,,,,,,,,,,,,,,,
New Brunswick,Greater Worship Kingdom Church,Bishop Otis Blount,868-262-6989,"178 Jones Ave, New Brunswick, NJ 08901","Sunday, 12:30 p.m. – 2:30 p.m.",,,,,,,,,,,,,,,,,,,
New Brunswick,New Brunswick Seventh Day Adventist Church,Oneka Edwards,732-745-4858 or for emergencies 732-474-8801,"339 Livingston Avenue, New Brunswick, NJ 08901","Sunday, 12:00 p.m. – 2:00 p.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",Salvation Army Family & Community Emergency Center,Yadira Zavaleta,732-545-1477 ext. 112,287 Handy Street P.O. Box 5724,Appointment required. Call ahead.,,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",Sharon Baptist Church,Edmund DeVeaux,201-478-9446 (Cell) or 732-846-0669 (Church),25 Howard Street,"Every Wednesday, 12:00 p.m. - 2:00 p.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",St. Alban’s Church Food Pantry,Enid Atkins,732-247-0808,148 Lee Avenue,"Wednesday, 7:00 p.m. - 8:30 p.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ","St. Vincent De Paul Food Pantry, New Brunswick",Walter Mulyk,732-309-2142,29 Abeel Street,"Wednesday & Saturday, 10:00 a.m. - 1:00 p.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",Suydam Street Reformed Church,Virginia Previte,732-249-6803,74 Drift Street,"Saturday, 9:00 a.m. - 10:30 a.m.; Sunday, 7:30 a.m. - 8:30 a.m.; Monday, 9:00 a.m. - 10:00 a.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",Tabernacle Baptist Church,Lottie Harrison,732-545-6617,239 George Street,"4th Thursday, 10:00 a.m. - 12:00 p.m.",,,,,,,,,,,,,,,,,,,
"New Brunswick, NJ",Unity Square Community Center,Jennifer Hinton,732-545-0329,81 Remsen Avenue,"Tuesday, 12:30 p.m. - 2:30 p.m.",,,,,,,,,,,,,,,,,,,
"North Brunswick, NJ",North Brunswick Food Bank,Julienne Whitten,732-246-8850,1330 Livingston Avenue,"Every Wednesday, 10:00 a.m. - 11:00 a.m. (Summer hours through Labor Day)",,,,,,,,,,,,,,,,,,,
"North Brunswick, NJ",North Brunswick Food Bank,Kathleen Aruta,732-247-0922 ext. 293,710 Hermann Road,"Tuesday, 10:00 a.m. - 12:00 p.m.; Thursday, 6:00 p.m. - 8:00 p.m.",,,,,,,,,,,,,,,,,,,
"Old Bridge, NJ",Calvary Chapel Old Bridge - Broken Loaves Food & Raiment Ministry,James Shevchenko,732-679-4837,139 White Oak Lane,"Friday, 10:30 a.m. - 1:00 p.m.; 6:30 p.m. - 8:30 p.m.",,,,,,,,,,,,,,,,,,,
"Old Bridge, NJ",Old Bridge Township Food Bank,Anahita Feltz,732-721-5600 ext. 2022,One Old Bridge Plaza,"Tuesday, Wednesday & Thursday, 10:00 a.m. - 12:00 p.m. (By appointment only)",,,,,,,,,,,,,,,,,,,
"Perth Amboy, NJ",New Destiny Family Worship Center Iglesia Ciudad de Refugio,Rev. Eduardo Almonte,732-826-0058,436 Market Street,"Tuesdays, 7:30 p.m. - 8:30 p.m.; Thursday, 7:30 p.m. - 8:30 p.m.",,,,,,,,,,,,,,,,,,,
"Perth Amboy, NJ",Cathedral CDC Social Services – Mercy House Food Pantry,Damaris Ramirez or Juana Kearney,732-826-0447,282 McClellan Street,"Monday, 9:30 a.m. - 1:00 p.m.; Tuesday – Friday, 9:30 a.m. – 3:00 p.m.",,,,,,,,,,,,,,,,,,,
"Perth Amboy, NJ",Our Lady of Fatima Bread of Life Food Pantry,Reverend Gilles Njobam CMF / Carmen Inoa,732-442-6634,380 Smith Street,"Every 3rd Wednesday of the month, 2:30 p.m. - 6:30 p.m.; Saturday following, 1:00 p.m. - 4:00 p.m.",,,,,,,,,,,,,,,,,,,
"Perth Amboy, NJ",Salvation Army,"Jhoanny Duran, Capt. Alex Rodriguez",732-826-7040,433 State Street,"Monday – Friday, EXCEPT Tuesday, 9:00 a.m. – 12:00 p.m. (By appointment)",,,,,,,,,,,,,,,,,,,
"Perth Amboy, NJ",James O. Bryant Food Pantry,Wilhelmina A. Bryant,732-630-0836,6 Ethel Road,[Hours not listed],,,,,,,,,,,,,,,,,,,
Sayreville,"Epic Church, World Outreach Center",Rachel Cedeno,732-727-9500 ext. 1405,"2707 Main Street, Sayreville, NJ 08872",3rd Thursday 10:00 a.m. – 7:00 p.m.,,,,,,,,,,,,,,,,,,,
Sayreville,Sayreville Care & Share Food Bank,Sue Paul,732-721-8053,"Senior Center, 423 Main Street, Sayreville, NJ 08872",Certain Tuesdays 10:00 a.m. – 11:00 a.m. (Call for dates),,,,,,,,,,,,,,,,,,,
Somerset,ICNA Relief,Amaney Kazlak,732-509-9143,"1320 Hamilton Street, Somerset, NJ 08873",4th Tuesday 4:00 p.m. – 6:00 p.m. and Last Saturday of the month 10:00 a.m. – 12:00 p.m.,,,,,,,,,,,,,,,,,,,
South Amboy,First Presbyterian Church of South Amboy,Church Office,732-721-4516,"150 North Broadway PO Box 787, South Amboy, NJ 08879",3rd Saturday 9:30 a.m. – 11:30 a.m.,,,,,,,,,,,,,,,,,,,
South Plainfield,South Plainfield Social Services Department,"Heather L. Barry, LSW",908-226-7628,"90 Maple Avenue, South Plainfield, NJ 07080",Tuesday & Thursday 8:30 a.m. - 12:00 p.m.,,,,,,,,,,,,,,,,,,,
South Plainfield,St. Stephen Lutheran Church Food Pantry,"Pastor Chris Halverson, Judy Ziccardi, Sharon Gianeschi",908-757-4474,"3145 Park Avenue, South Plainfield, NJ 07080",3rd Wednesday of the month 6:00 p.m. – 8:00 p.m.,,,,,,,,,,,,,,,,,,,
South River,South River Food Bank,Debra A. Jones,732-257-1999 ext. 118,"98 Jackson Street, South River, NJ 08882",Wednesday 10:00 a.m. – 12:00 p.m. and 1st & 2nd Saturday 10:00 a.m. – 12:00 p.m.,,,,,,,,,,,,,,,,,,,
South River,The Heart of South River at Tabernacle Baptist Church,Pastor Jimmy,732-254-5601,"130 Main Street, South River, NJ 08882",1st Saturday of the month 10:00 a.m. – 12:00 p.m.,,,,,,,,,,,,,,,,,,,
South River,"Union Baptist Church, Joshua Center Food Bank","Joann Jackson, Director",732-690-3673,"76 Washington Street, South River, NJ 08882",1st & 3rd Thursday 9:30 a.m. – 11:30 a.m. and 1st & 3rd Saturday 9:30 a.m. – 11:30 a.m.,,,,,,,,,,,,,,,,,,,
South River,"When Action Meets Compassion, Lives are Changed","Tina Pozza, Director",732-520-9988,"199 Whitehead Avenue, South River, NJ 08882",Every Tuesday by appointment,,,,,,,,,,,,,,,,,,,
Woodbridge,Evangel Church of Woodbridge,Pastor Leslie Samuel or Alvin David,732-283-3440 or 732-710-3663,"48 Berkley Street, Iselin, NJ 08820",Last Thursday of the month (November & December 3rd Thursday) 7:00 p.m. – 8:30 p.m.,,,,,,,,,,,,,,,,,,,
Woodbridge,Fellowship Bible Church,Louis Devizia,732-636-7727,"121 East Prospect Avenue, Woodbridge, NJ 07095",Sunday 12:00 p.m. – 2:00 p.m.,,,,,,,,,,,,,,,,,,,
Woodbridge,First Congregational Church of Woodbridge,Church Office,732-634-0582,"539 Barron Avenue, Woodbridge, NJ 07095",Must call for appointment (Sunday pick up),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
