City,Name,Contact,Phone Numbers,Hours of Operation,Description,
"Old Bridge, NJ",Calvary Chapel Old Bridge - Broken Loaves Food & Raiment Ministry,James Shevchenko,732-679-4837,139 White Oak Lane,"Friday, 10:30 a.m. - 1:00 p.m.; 6:30 p.m. - 8:30 p.m.","Food, clothing, counseling, and prayer. Appointment required by calling in advance. Services limited to once a month."
"Old Bridge, NJ",Old Bridge Township Food Bank,Anahita Feltz,732-721-5600 ext. 2022,One Old Bridge Plaza,"Tuesday, Wednesday & Thursday, 10:00 a.m. - 12:00 p.m. (By appointment only)","Services for Old Bridge residents only. Requires proof of residency, proof of income, and other documentation. Emergency assistance available during COVID-19."
"Perth Amboy, NJ",New Destiny Family Worship Center Iglesia Ciudad de Refugio,Rev. Eduardo Almonte,732-826-0058,436 Market Street,"Tuesdays, 7:30 p.m. - 8:30 p.m.; Thursday, 7:30 p.m. - 8:30 p.m.",Emergency food provided to those in need in the church community.
"Perth Amboy, NJ",Cathedral CDC Social Services – Mercy House Food Pantry,Damaris Ramirez or Juana Kearney,732-826-0447,282 McClellan Street,"Monday, 9:30 a.m. - 1:00 p.m.; Tuesday – Friday, 9:30 a.m. – 3:00 p.m.",Food pantry available twice a month. Clients must register every six months. Clothing available.
"Perth Amboy, NJ",Our Lady of Fatima Bread of Life Food Pantry,Reverend Gilles Njobam CMF / Carmen Inoa,732-442-6634,380 Smith Street,"Every 3rd Wednesday of the month, 2:30 p.m. - 6:30 p.m.; Saturday following, 1:00 p.m. - 4:00 p.m.",Emergency food available to any Middlesex County resident in need.
"Perth Amboy, NJ",Salvation Army,"Jhoanny Duran, Capt. Alex Rodriguez",732-826-7040,433 State Street,"Monday – Friday, EXCEPT Tuesday, 9:00 a.m. – 12:00 p.m. (By appointment)","Food pantry available twice a month. Must show proof of need, ID, and address. Soup kitchen and winter shelter for men, transitional housing for veterans."
"Perth Amboy, NJ",James O. Bryant Food Pantry,Wilhelmina A. Bryant,732-630-0836,6 Ethel Road,[Hours not listed],Emergency food distribution and other assistance for local residents.
Sayreville,"Epic Church, World Outreach Center",Rachel Cedeno,732-727-9500 ext. 1405,"2707 Main Street, Sayreville, NJ 08872",3rd Thursday 10:00 a.m. – 7:00 p.m.,
Sayreville,Sayreville Care & Share Food Bank,Sue Paul,732-721-8053,"Senior Center, 423 Main Street, Sayreville, NJ 08872",Certain Tuesdays 10:00 a.m. – 11:00 a.m. (Call for dates),
Somerset,ICNA Relief,Amaney Kazlak,732-509-9143,"1320 Hamilton Street, Somerset, NJ 08873",4th Tuesday 4:00 p.m. – 6:00 p.m. and Last Saturday of the month 10:00 a.m. – 12:00 p.m.,
South Amboy,First Presbyterian Church of South Amboy,Church Office,732-721-4516,"150 North Broadway PO Box 787, South Amboy, NJ 08879",3rd Saturday 9:30 a.m. – 11:30 a.m.,
South Plainfield,South Plainfield Social Services Department,"Heather L. Barry, LSW",908-226-7628,"90 Maple Avenue, South Plainfield, NJ 07080",Tuesday & Thursday 8:30 a.m. - 12:00 p.m.,
South Plainfield,St. Stephen Lutheran Church Food Pantry,"Pastor Chris Halverson, Judy Ziccardi, Sharon Gianeschi",908-757-4474,"3145 Park Avenue, South Plainfield, NJ 07080",3rd Wednesday of the month 6:00 p.m. – 8:00 p.m.,
South River,South River Food Bank,Debra A. Jones,732-257-1999 ext. 118,"98 Jackson Street, South River, NJ 08882",Wednesday 10:00 a.m. – 12:00 p.m. and 1st & 2nd Saturday 10:00 a.m. – 12:00 p.m.,
South River,The Heart of South River at Tabernacle Baptist Church,Pastor Jimmy,732-254-5601,"130 Main Street, South River, NJ 08882",1st Saturday of the month 10:00 a.m. – 12:00 p.m.,
South River,"Union Baptist Church, Joshua Center Food Bank","Joann Jackson, Director",732-690-3673,"76 Washington Street, South River, NJ 08882",1st & 3rd Thursday 9:30 a.m. – 11:30 a.m. and 1st & 3rd Saturday 9:30 a.m. – 11:30 a.m.,
South River,"When Action Meets Compassion, Lives are Changed","Tina Pozza, Director",732-520-9988,"199 Whitehead Avenue, South River, NJ 08882",Every Tuesday by appointment,
Woodbridge,Evangel Church of Woodbridge,Pastor Leslie Samuel or Alvin David,732-283-3440 or 732-710-3663,"48 Berkley Street, Iselin, NJ 08820",Last Thursday of the month (November & December 3rd Thursday) 7:00 p.m. – 8:30 p.m.,
Woodbridge,Fellowship Bible Church,Louis Devizia,732-636-7727,"121 East Prospect Avenue, Woodbridge, NJ 07095",Sunday 12:00 p.m. – 2:00 p.m.,
Woodbridge,First Congregational Church of Woodbridge,Church Office,732-634-0582,"539 Barron Avenue, Woodbridge, NJ 07095",Must call for appointment (Sunday pick up),
